timestamp,cpu_overall,cpu_per_core,cpu_cores,memory_usage,memory_used,total_memory,disk_read,disk_write,net_receive,net_transmit,gpu_usage,gpu_memory_usage,total_gpu_memory,gpu_temp,gpu_power
2025-10-02T09:29:13.509097+00:00,24.4,0.0;11.8;0.0;90.9,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:13.611194+00:00,29.3,9.1;80.0;10.0;10.0,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:13.711299+00:00,15.4,20.0;18.2;20.0;25.0,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:13.811404+00:00,4.9,0.0;0.0;0.0;0.0,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:13.911559+00:00,0.0,0.0;0.0;0.0;0.0,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.011717+00:00,0.0,0.0;0.0;0.0;0.0,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.111863+00:00,10.3,9.1;30.0;10.0;0.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.212017+00:00,7.5,0.0;0.0;9.1;10.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.312210+00:00,4.9,0.0;10.0;0.0;0.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.412380+00:00,0.0,0.0;0.0;0.0;0.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.512535+00:00,4.9,9.1;0.0;0.0;0.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.612733+00:00,0.0,0.0;0.0;0.0;9.1,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.712883+00:00,2.5,10.0;0.0;9.1;0.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.813038+00:00,0.0,0.0;0.0;0.0;9.1,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:14.913190+00:00,2.4,0.0;0.0;0.0;0.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.013342+00:00,2.5,0.0;0.0;0.0;0.0,4,22.5,1474,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.113493+00:00,25.6,10.0;100.0;9.1;0.0,4,22.6,1482,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.213594+00:00,32.5,10.0;100.0;10.0;10.0,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.313691+00:00,25.0,0.0;100.0;0.0;0.0,4,22.6,1479,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.413788+00:00,25.6,0.0;100.0;0.0;9.1,4,22.5,1469,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.513887+00:00,26.8,0.0;100.0;0.0;0.0,4,22.4,1467,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.613999+00:00,27.5,0.0;100.0;0.0;0.0,4,22.4,1467,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.714105+00:00,30.0,0.0;100.0;9.1;10.0,4,22.4,1464,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.814255+00:00,25.0,0.0;100.0;0.0;0.0,4,22.4,1462,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:15.914404+00:00,25.6,0.0;100.0;0.0;0.0,4,22.4,1466,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.014565+00:00,27.5,10.0;27.3;70.0;9.1,4,22.4,1464,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.114655+00:00,40.0,11.1;11.1;100.0;22.2,4,22.4,1466,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.214748+00:00,29.3,9.1;0.0;100.0;10.0,4,22.4,1465,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.314877+00:00,25.6,0.0;0.0;100.0;9.1,4,22.4,1464,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.415007+00:00,25.0,0.0;0.0;100.0;0.0,4,22.4,1464,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.515133+00:00,25.6,0.0;0.0;100.0;0.0,4,22.4,1462,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.615259+00:00,25.0,0.0;0.0;100.0;0.0,4,22.4,1462,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.715386+00:00,29.3,10.0;0.0;100.0;0.0,4,22.5,1469,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.815513+00:00,27.5,0.0;0.0;100.0;0.0,4,22.5,1468,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:16.915639+00:00,27.5,0.0;0.0;100.0;10.0,4,22.4,1467,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.015768+00:00,25.0,0.0;0.0;100.0;0.0,4,22.4,1466,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.115863+00:00,30.0,18.2;10.0;100.0;9.1,4,22.4,1465,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.215990+00:00,27.5,0.0;0.0;100.0;0.0,4,22.4,1466,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.316125+00:00,25.6,0.0;0.0;100.0;0.0,4,22.4,1465,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.416254+00:00,25.0,0.0;0.0;100.0;0.0,4,22.4,1463,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.516378+00:00,26.8,0.0;0.0;100.0;0.0,4,22.4,1462,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.616508+00:00,25.6,0.0;0.0;100.0;0.0,4,22.5,1470,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.716632+00:00,27.5,0.0;0.0;100.0;18.2,4,22.5,1468,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.816759+00:00,25.0,0.0;0.0;100.0;0.0,4,22.4,1467,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:17.916887+00:00,27.5,9.1;0.0;100.0;0.0,4,22.4,1466,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.017006+00:00,25.0,0.0;0.0;100.0;0.0,4,22.5,1473,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.117122+00:00,27.5,0.0;0.0;100.0;0.0,4,22.6,1476,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.217267+00:00,29.3,16.7;0.0;100.0;10.0,4,22.5,1471,7941,0.0,0.0,0.1,0.1,,,,,
2025-10-02T09:29:18.317375+00:00,26.3,0.0;0.0;100.0;0.0,4,22.5,1472,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.417475+00:00,26.8,0.0;0.0;100.0;0.0,4,22.5,1470,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.517551+00:00,35.9,10.0;10.0;100.0;27.3,4,22.5,1469,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.617673+00:00,33.3,10.0;20.0;100.0;11.1,4,22.4,1466,7941,0.0,0.0,0.8,0.9,,,,,
2025-10-02T09:29:18.717781+00:00,27.5,0.0;0.0;100.0;0.0,4,22.4,1466,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.817890+00:00,29.3,10.0;0.0;100.0;10.0,4,22.4,1467,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:18.917987+00:00,27.5,9.1;0.0;100.0;0.0,4,22.4,1465,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:19.018076+00:00,25.6,10.0;0.0;100.0;0.0,4,22.4,1464,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:19.118175+00:00,37.5,10.0;20.0;100.0;27.3,4,22.5,1468,7941,0.0,0.0,0.0,0.0,,,,,
2025-10-02T09:29:19.218259+00:00,29.3,0.0;10.0;100.0;0.0,4,22.5,1468,7941,0.0,12.0,0.0,0.0,,,,,
2025-10-02T09:29:19.318366+00:00,29.3,9.1;9.1;100.0;10.0,4,22.5,1469,7941,0.0,1.9,0.0,0.0,,,,,
2025-10-02T09:29:19.418474+00:00,25.6,0.0;0.0;100.0;0.0,4,22.5,1470,7941,0.0,18.0,0.0,0.0,,,,,
2025-10-02T09:29:19.519559+00:00,30.8,0.0;20.0;100.0;9.1,4,22.5,1471,7941,0.0,35.6,0.0,0.0,,,,,
2025-10-02T09:29:19.619642+00:00,34.1,0.0;20.0;100.0;0.0,4,22.5,1473,7941,0.0,41.9,0.0,0.0,,,,,
2025-10-02T09:29:19.719728+00:00,32.5,0.0;10.0;100.0;27.3,4,22.5,1473,7941,0.0,62.0,0.0,0.0,,,,,
2025-10-02T09:29:19.819819+00:00,35.0,0.0;22.2;100.0;0.0,4,22.4,1466,7941,0.0,35.9,0.0,0.0,,,,,
